ticker,m1,m2,passes
AAPL,0.9840319361277445,1.0,True
MSFT,0.9560878243512974,1.0,True
GOOGL,0.9860279441117764,1.0,True
AMZN,0.9760479041916168,1.0,True
TSLA,0.9820359281437125,1.0,True
META,0.9700598802395209,1.0,True
NVDA,1.0,1.0,True
BRK-B,0.9860279441117764,1.0,True
UNH,0.5289421157684631,1.0,False
V,0.9860279441117764,1.0,True
JPM,0.9281437125748503,1.0,True
JNJ,0.6826347305389222,1.0,False
HD,0.5149700598802395,1.0,False
WMT,0.9900199600798403,1.0,True
PG,0.5229540918163673,1.0,False
BAC,0.7564870259481038,1.0,False
MA,0.7764471057884231,1.0,False
PFE,0.8562874251497006,1.0,False
DIS,0.9860279441117764,1.0,True
AVGO,0.5888223552894212,1.0,False
